"location_id","address_primary","city","state","zip","zip_suffix","unit_count","bsl_flag","building_type_code","land_use_code","address_confidence_code","county_geoid","block_geoid","h3_9","latitude","longitude"
1121506652,"1711 W US HIGHWAY 14-16","GILLETTE","WY","82716","3341",1,"False","E",3,"1","56005","560050006003020","8926a4182c7ffff",44.29373178,-105.52789099
1121504208,"1414 W 4TH ST","GILLETTE","WY","82716","3328",1,"False","E",3,"1","56005","560050006003020","8926a418203ffff",44.29123653,-105.52443965
1121504200,"430 S MEDICAL ARTS CT","GILLETTE","WY","82716","3364",1,"False","E",3,"1","56005","560050006003020","8926a418207ffff",44.28962737,-105.52056726
1121504198,"1401 W 4TH ST","GILLETTE","WY","82716","3327",1,"False","E",3,"1","56005","560050006003020","8926a418217ffff",44.29085149,-105.52240145
1121504190,"407 S MEDICAL ARTS CT","GILLETTE","WY","82716","3372",1,"False","C",3,"2","56005","560050006003020","8926a418217ffff",44.29067747,-105.52054526
1121504191,"1201 W 2ND ST","GILLETTE","WY","82716","3301",1,"False","E",3,"1","56005","560050006003021","8926a418217ffff",44.29241765,-105.52017822
1121506653,"1612 W US HIGHWAY 14-16","GILLETTE","WY","82716","3344",1,"False","E",3,"1","56005","560050006003022","8926a418213ffff",44.29390170,-105.52616782
1121504205,"1308 W 4TH ST","GILLETTE","WY","82716","3330",1,"False","E",3,"1","56005","560050006003023","8926a418217ffff",44.29137754,-105.52169037
1121504203,"1206 W 4TH ST","GILLETTE","WY","82716","3300",1,"False","C",3,"2","56005","560050006003023","8926a418217ffff",44.29133154,-105.52062327
1121504595,"1005 W 2ND ST","GILLETTE","WY","82716","3406",1,"False","E",8,"1","56005","560050006003024","8926a4182bbffff",44.29227663,-105.51761797
1121506201,"620 FOUR-J CT","GILLETTE","WY","82716","4130",1,"False","E",3,"2","56005","560050006003043","8926a418237ffff",44.28385779,-105.51216742
1121506199,"600 FOUR-J CT","GILLETTE","WY","82716","9000",1,"False","E",3,"1","56005","560050006003043","8926a4183cbffff",44.28382179,-105.51074528
1121506203,"601 FOUR-J CT","GILLETTE","WY","82716","4110",1,"False","E",3,"2","56005","560050006003043","8926a4183cbffff",44.28309071,-105.51072828
1106861699,"1330 BOB ADAMS DR","STEAMBOAT SPR","CO","80487","5027",1,"False","C",6,"1","08107","081070005001012","8926800440bffff",40.49242065,-106.83989519
1106858778,"23655 COUNTY ROAD 16","OAK CREEK","CO","80467","9610",1,"False","C",6,"1","08107","081070008002054","89268039d23ffff",40.26462187,-106.84922313
1286134519,"13154 US-16 ALT E","CUSTER","SD","57730","",1,"False","C",5,"3","46033","460339651001054","8926a5b057bffff",43.77744115,-103.42866707
1286126723,"25300 BADGER CLARK MEMORIAL RD","CUSTER","SD","57730","",1,"False","C",6,"3","46033","460339651001060","8926a5b0ed7ffff",43.74833224,-103.43174038
1286131034,"820 3RD ST","FAIRBURN","SD","57738","",1,"False","C",2,"2","46033","460339651001120","8926a5b6ab3ffff",43.68517792,-103.20627883
1286122960,"267 OAK ST","BUFFALO GAP","SD","57722","",1,"False","C",2,"3","46033","460339651001228","8926a5a5d4bffff",43.49110852,-103.31446265
1286133918,"257 MAIN ST","HERMOSA","SD","57744","",1,"False","C",2,"3","46033","460339651001239","8926164ea93ffff",43.83993230,-103.19214042
1286134280,"14305 BROKEN SPOKE PL","HERMOSA","SD","57744","5104",1,"False","E",3,"1","46033","460339651001242","8926164ee0bffff",43.84859226,-103.19747395
1286132379,"11 4TH ST","HERMOSA","SD","57744","",1,"False","C",2,"2","46033","460339651001246","8926164ea9bffff",43.83938734,-103.19537874
1296460309,"1125 MAIN ST","LANDER","WY","82520","",1,"False","E",3,"1","56013","560130002002005","8926b0a703bffff",42.83728113,-108.74556776
1296460275,"935 LINCOLN ST","LANDER","WY","82520","2715",1,"False","E",3,"2","56013","560130002002030","8926b0a703bffff",42.83668707,-108.74397850
1296460277,"906 MAIN ST","LANDER","WY","82520","3074",1,"False","E",3,"1","56013","560130002002030","8926b0a703bffff",42.83604101,-108.74365657
1296460283,"870 MAIN ST","LANDER","WY","82520","3038",1,"False","E",3,"1","56013","560130002002034","8926b0a7023ffff",42.83588199,-108.74290140
1296456465,"637 MAIN ST","LANDER","WY","82520","3033",1,"False","E",3,"1","56013","560130002002039","8926b0a7037ffff",42.83422083,-108.73802801
1296461708,"185 S 5TH ST","LANDER","WY","82520","3001",1,"False","E",3,"1","56013","560130002002038","8926b0a71cbffff",42.83327173,-108.73608981
1296456630,"725 MAIN ST BLDG 2","LANDER","WY","82520","3035",1,"False","E",3,"2","56013","560130002002040","8926b0a7023ffff",42.83419282,-108.73987319
1296459202,"150 WYOMING ST","LANDER","WY","82520","3911",1,"False","E",6,"2","56013","560130003011004","8926b0a717bffff",42.82368877,-108.73116232
1296458434,"1320 BISHOP RANDALL DR","LANDER","WY","82520","3939",1,"False","C",6,"1","56013","560130003011007","8926b0a7163ffff",42.82057146,-108.72683489
1296459178,"115 WYOMING ST","LANDER","WY","82520","3919",1,"False","E",3,"1","56013","560130003011008","8926b0a717bffff",42.82310772,-108.73046725
1296454587,"80 MORTIMORE LN","LANDER","WY","82520","9765",1,"False","C",3,"1","56013","560130003011028","8926b0a447bffff",42.81079148,-108.70500171
1296456366,"50 FIELD STATION RD","LANDER","WY","82520","9641",1,"False","C",6,"1","56013","560130003011024","8926b0a5397ffff",42.77496780,-108.77149035
1296458740,"3322 SINKS CANYON RD","LANDER","WY","82520","",1,"False","C",6,"2","56013","560130003011033","8926b0aead3ffff",42.73313072,-108.84560677
1296458324,"23 N FORK RD","LANDER","WY","82520","9719",1,"False","E",1,"2","56013","560130003012128","8926b0a295bffff",42.87472188,-108.78894500
1296458854,"1185 US HIGHWAY 287","LANDER","WY","82520","2411",1,"False","E",3,"1","56013","560130003012130","8926b0a70d7ffff",42.84782719,-108.75075628
1296459100,"40 S DEXTER AVE BLDG 2","ATLANTIC CITY","WY","82520","8808",1,"False","C",4,"2","56013","560130003012219","8926b1c80cfffff",42.49514792,-108.73180139
1296437010,"104 W 1ST ST","SHOSHONI","WY","82649","",1,"False","C",4,"3","56013","560130003021015","8926b501b17ffff",43.23058646,-108.11703991
1296453465,"173 S MAIN ST","HUDSON","WY","82515","5049",1,"False","E",3,"1","56013","560130003021215","8926b56b28bffff",42.90498280,-108.58327353
1110433553,"307 PALMER ST","MILES CITY","MT","59301","2903",1,"False","E",3,"1","30017","300179620001010","892783259c7ffff",46.40732014,-105.85519572
1110444766,"602 MAIN ST","MILES CITY","MT","59301","3120",1,"False","E",3,"1","30017","300179620001041","89278325913ffff",46.40593890,-105.85006221
1110444829,"612 MAIN ST","MILES CITY","MT","59301","3120",1,"False","E",3,"2","30017","300179620001041","89278325913ffff",46.40608701,-105.84959016
1110444767,"600 MAIN ST","MILES CITY","MT","59301","3120",1,"False","E",3,"1","30017","300179620001041","89278325913ffff",46.40591690,-105.85012822
1110434497,"210 N 9TH ST","MILES CITY","MT","59301","3308",1,"False","C",2,"1","30017","300179620002017","8927832599bffff",46.41009141,-105.84806701
1110433517,"1101 MAIN ST","MILES CITY","MT","59301","3508",1,"False","E",2,"1","30017","300179620002023","89278325983ffff",46.40831124,-105.84441265
1110444606,"1 S 10TH ST","MILES CITY","MT","59301","3327",1,"False","C",2,"1","30017","300179620002034","8927832598fffff",46.40731014,-105.84593970
1110437433,"1010 MAIN ST","MILES CITY","MT","59301","3419",1,"False","C",6,"2","30017","300179620002035","8927832598fffff",46.40735114,-105.84480169
1110436531,"17 S 8TH ST","MILES CITY","MT","59301","3214",1,"False","E",2,"1","30017","300179620002039","89278325913ffff",46.40615002,-105.84799590
1110444662,"700 MAIN ST","MILES CITY","MT","59301","3122",1,"False","E",3,"1","30017","300179620002039","89278325913ffff",46.40638004,-105.84889509
1110437380,"901 N LAKE AVE","MILES CITY","MT","59301","2632",1,"False","E",2,"1","30017","300179620003001","89278325d27ffff",46.41555796,-105.83897800
1110436972,"520 N MONTANA AVE","MILES CITY","MT","59301","2529",1,"False","C",3,"1","30017","300179620003007","89278325d2fffff",46.41263767,-105.84149035
1296441605,"114 UPHILL RD","DUBOIS","WY","82513","",1,"False","E",1,"1","56013","560130004001023","8926b47817bffff",43.57023643,-109.76483969
1296440194,"1403 W RAMSHORN ST","DUBOIS","WY","82513","5091",1,"False","E",3,"1","56013","560130004001050","8926b4632b3ffff",43.54495680,-109.66181739
1296441353,"515 W RAMSHORN ST","DUBOIS","WY","82513","",1,"False","E",3,"2","56013","560130004001071","8926b463387ffff",43.53518792,-109.64016722
1296441578,"868 E FORK RD","DUBOIS","WY","82513","9613",1,"False","C",6,"2","56013","560130004002023","8926b475513ffff",43.58086249,-109.45295140
1296440520,"300 W RAMSHORN ST","DUBOIS","WY","82513","",1,"False","C",3,"2","56013","560130004002075","8926b4633b3ffff",43.53405181,-109.63610182
1296462204,"3 ETHETE RD","FORT WASHAKIE","WY","82514","5400",1,"False","E",3,"1","56013","560139401003021","8926b0b1d8fffff",42.99125753,-108.87133434
1296695583,"3609 E LINCOLNWAY","CHEYENNE","WY","82001","6338",1,"False","E",3,"1","56021","560210005032000","8926ae7984bffff",41.13855126,-104.76633484
1296695584,"3617 E LINCOLNWAY","CHEYENNE","WY","82001","6338",1,"False","E",3,"1","56021","560210005032000","8926ae7984bffff",41.13895120,-104.76580179
1296701376,"3007 E NATIONWAY","CHEYENNE","WY","82001","6253",1,"False","E",3,"1","56021","560210005032002","8926ae79a03ffff",41.13152756,-104.77836704
1296698159,"2110 GRASSLANDS PKWY","CHEYENNE","WY","82001","6495",1,"False","E",3,"1","56021","560210005034009","8926ae7981bffff",41.14516792,-104.75423463
1296698160,"4515 E PERSHING BLVD","CHEYENNE","WY","82001","6092",1,"False","E",3,"2","56021","560210005034009","8926ae7981bffff",41.14488089,-104.75531774
1296708125,"2414 E LINCOLNWAY","CHEYENNE","WY","82001","5418",1,"False","E",3,"1","56021","560210006011004","8926ae79acbffff",41.13882729,-104.78797890
